new_phibase_acc	old_phibase_acc	uniprot_acc	gene_name_phibase	gene_locus_id	gene_locus_id_type	pathogen_species_taxon_id	pathogen_taxon_id	pathogen_taxon_name_ncbi	host_species_taxon_id	host_species_name_ncbi	phi_disease_phenotype_id	phi_disease_phenotype_name	experiment_specification_ids	experiment_specification_names	pubmed_id	doi
PHI:I322	PHI:324	Q5QEY0	ACA1	AAU05130	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15590822	10.1128/EC.3.6.1476-1491.2004
PHI:I323	PHI:325	Q6ZX14	ACE1	CAG28797	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIEO:0000003	plant avirulence determinant effector	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15319478	
PHI:I324	PHI:326	Q700F1	ACE2	CAF34431	EMBL	5478	5478	Candida glabrata	10090	Mus musculus	PHIPO:0000147	hypervirulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15075283	
PHI:I325	PHI:328	Q5G7L3	ATR13	AAW63763	EMBL	272952	272952	Hyaloperonospora arabidopsidis	3702	Arabidopsis thaliana	PHIEO:0000003	plant avirulence determinant effector	ESO:0000010	other evidence	15591208	10.1126/science.1104022
PHI:I326	PHI:329	Q8J0E3	BcPLS1	CAD43406	EMBL	40559	40559	Botrytis cinerea	4081	Solanum lycopersicum	PHIPO:0000007	loss of pathogenicity	ESO:0000002	gene deletion	14731267	
PHI:I327	PHI:329	Q8J0E3	BcPLS1	CAD43406	EMBL	40559	40559	Botrytis cinerea	3764	Rosa	PHIPO:0000007	loss of pathogenicity	ESO:0000002	gene deletion	14731267	
PHI:I328	PHI:329	Q8J0E3	BcPLS1	CAD43406	EMBL	40559	40559	Botrytis cinerea	3885	Phaseolus vulgaris	PHIPO:0000007	loss of pathogenicity	ESO:0000002	gene deletion	14731267	
PHI:I329	PHI:329	Q8J0E3	BcPLS1	CAD43406	EMBL	40559	40559	Botrytis cinerea	39473	Cucumis anguria	PHIPO:0000007	loss of pathogenicity	ESO:0000002	gene deletion	14731267	
PHI:I330	PHI:331	Q59RR0	CaACE2	EAK93180	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	15255906	10.1111/j.1365-2958.2004.04185.x
PHI:I331	PHI:332	Q75T35	CAC1	BAD04045	EMBL	5462	5462	Colletotrichum lagenaria	3659	Cucumis sativus	PHIPO:0000007	loss of pathogenicity	ESO:0000002	gene deletion	15597741	
PHI:I332	PHI:333	Q5Y9C4	CaEcm33	AAV27296	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15470113	10.1099/mic.0.27320-0
PHI:I333	PHI:334	Q6XSF5	CGB1	AAO25585	EMBL	5016	5016	Bipolaris maydis	4577	Zea mays	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	15590838	10.1128/EC.3.6.1653-1663.2004
PHI:I334	PHI:335	Q9HEQ8	CGRA	AAG28884	EMBL	746128	746128	Aspergillus fumigatus	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15271935	10.1128/IAI.72.8.4731-4740.2004
PHI:I335	PHI:336	Q5YCX0	CHS2	AAT77182	EMBL	5507	426428	Fusarium oxysporum f. sp. lycopersici 4287	4081	Solanum lycopersicum	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	15470098	10.1099/mic.0.27236-0
PHI:I336	PHI:337	Q5YCW8	CHS7	AAT77184	EMBL	5507	426428	Fusarium oxysporum f. sp. lycopersici 4287	4081	Solanum lycopersicum	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	15470098	10.1099/mic.0.27236-0
PHI:I337	PHI:338	Q6X269	CLB2	AAP94020	EMBL	5270	5270	Ustilago maydis	4577	Zea mays	PHIPO:0000008	reduced virulence	ESO:0000024	unknown gene expression	14679309	10.1242/jcs.00877
PHI:I338	PHI:339	Q96VL3	CLPT1	CAC41973	EMBL	290576	290576	Colletotrichum lindemuthianum	3885	Phaseolus vulgaris	PHIPO:0000008	reduced virulence	ESO:0000016	characterised gene mutation	15615776	
PHI:I339	PHI:340	Q71S08	CPCA	AAQ14858	EMBL	746128	746128	Aspergillus fumigatus	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15101984	10.1111/j.1365-2958.2004.04015.x
PHI:I340	PHI:341	Q75T36	CPK1	BAD04044	EMBL	5462	5462	Colletotrichum lagenaria	3659	Cucumis sativus	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	15597741	
PHI:I341	PHI:342	Q875L0	CpMK1	AAO27796	EMBL	5116	5116	Cryphonectria parasitica	134033	Castanea dentata	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000005;ESO:0000007	gene deletion;biochemical analysis;gene complementation	14982623	
PHI:I342	PHI:343	Q6B971	CPRGS-1	AAT92283	EMBL	5116	5116	Cryphonectria parasitica	134033	Castanea dentata	PHIPO:0000007	loss of pathogenicity	ESO:0000002	gene deletion	15590820	10.1128/EC.3.6.1454-1463.2004
PHI:I343	PHI:344	Q8J0I5	CPTF1	CAD21519	EMBL	5111	5111	Claviceps purpurea	4550	Secale cereale	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	15077671	10.1094/MPMI.2004.17.4.383
PHI:I344	PHI:345	Q69FA8	CRG1	AAR06257	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000147	hypervirulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15302835	
PHI:I345	PHI:346	Q8J214	CRU1	AAN10186	EMBL	5270	559306	Ustilago maydis FB1	4577	Zea mays	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	15316079	
PHI:I346	PHI:348	Q59PJ5	CSH3	EAK92385                 	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	14756779	
PHI:I347	PHI:350	Q6T7C1	EMP1	AAR06609	EMBL	318829	242507	Magnaporthe oryzae 70-15	4530	Oryza sativa	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	15055545	
PHI:I348	PHI:352	Q7Z868	GLO1	CAD79488	EMBL	5270	5270	Ustilago maydis	4577	Zea mays	PHIPO:0000007	loss of pathogenicity	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15578222	10.1007/s00438-004-1085-6
PHI:I349	PHI:353	Q6EH42	GNA1	AAQ94737	EMBL	13684	13684	Parastagonospora nodorum	4564	Triticum	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	15141949	10.1094/MPMI.2004.17.5.456
PHI:I350	PHI:354	Q8TFX6	GPAB	CAC81805	EMBL	746128	746128	Aspergillus fumigatus	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	15322014	10.1128/IAI.72.9.5193-5203.2004
PHI:I351	PHI:355	I1RNS1	GzmetE	FG05658	Broad	5518	229533	Fusarium graminearum PH-1	4564	Triticum	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15378266	10.1007/s00294-004-0528-2
PHI:I352	PHI:356	Q9UW16	HEX1	AAK98783	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15155882	
PHI:I353	PHI:357	Q5ABE2	HGC1	EAL00089	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	15071502	10.1038/sj.emboj.7600195
PHI:I354	PHI:358	Q6SSJ3	ILV2	AAR29084	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15133116	
PHI:I355	PHI:359	G1UA43	KER1	AAK14386	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	15289560	10.1099/mic.0.26339-0
PHI:I356	PHI:360	Q5K995	KIN1	AAW46354	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15469513	10.1111/j.1365-2958.2004.04310.x
PHI:I357	PHI:360	Q5K995	KIN1	AAW46354	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	6239	Caenorhabditis elegans	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15469513	10.1111/j.1365-2958.2004.04310.x
PHI:I358	PHI:361	Q5AEW4	KRE5	EAL01265 	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	15590817	10.1128/EC.3.6.1423-1432.2004
PHI:I359	PHI:362	Q4WUL6	LYSF	CAC48042	EMBL	746128	746128	Aspergillus fumigatus	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15052376	10.1007/s00203-004-0667-3
PHI:I360	PHI:364	Q59X54	MIT1	EAK95175	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15347680	10.1074/jbc.M405534200
PHI:I361	PHI:365	Q5J4D6	MLS1	AAS91580	EMBL	13684	13684	Parastagonospora nodorum	4564	Triticum	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15306011	10.1111/j.1365-2958.2004.04178.x
PHI:I362	PHI:366	Q6Q8B9	MMT1	AAS86162	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	15155887	
PHI:I363	PHI:366	Q6Q8B9	MMT1	AAS86162	EMBL	318829	318829	Magnaporthe oryzae	112509	Hordeum vulgare subsp. vulgare	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	15155887	
PHI:I364	PHI:367	Q697D5	MRB1	AAT81148	EMBL	5270	5270	Ustilago maydis	4577	Zea mays	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15273296	10.1105/tpc.104.022657
PHI:I365	PHI:368	Q9P927	NOT4	AAF66693	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	14702416	
PHI:I366	PHI:369	Q8RYB4	PiGPA1	AAL11436	EMBL	4787	4787	Phytophthora infestans	4113	Solanum tuberosum	PHIPO:0000008	reduced virulence	ESO:0000013	gene silencing	14763970	
PHI:I367	PHI:370	Q8NIK9	PKA2	AAM74047	EMBL	5207	5207	Cryptococcus neoformans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	14871933	
PHI:I368	PHI:371	Q8J129	PKAC1	CAC82611	EMBL	746128	746128	Aspergillus fumigatus	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	15322014	10.1128/IAI.72.9.5193-5203.2004
PHI:I369	PHI:372	Q9HFV9	PKR1	AAG30146	EMBL	5207	5207	Cryptococcus neoformans	10090	Mus musculus	PHIPO:0000147	hypervirulence	ESO:0000001	gene disruption	15503029	10.1007/s00294-004-0529-1
PHI:I370	PHI:372	Q9HFV9	PKR1	AAG30146	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	6239	Caenorhabditis elegans	PHIPO:0000147	hypervirulence	ESO:0000001	gene disruption	12438649	10.1073/pnas.232568599
PHI:I371	PHI:372	Q9HFV9	PKR1	AAG30146	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	7227	Drosophila melanogaster	PHIPO:0000147	hypervirulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15075271	
PHI:I372	PHI:373	Q59TT3	PLD1	EAK93902	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	11283284	
PHI:I373	PHI:375	Q876Z6	REN1	BAC55015	EMBL	5507	5507	Fusarium oxysporum	4081	Solanum lycopersicum	PHIPO:0000011	unaltered pathogenicity	ESO:0000001	gene disruption	15020411	
PHI:I374	PHI:376	Q8NKF8	SCH9	AAM21494	EMBL	5207	5207	Cryptococcus neoformans	9986	Oryctolagus cuniculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15503029	10.1007/s00294-004-0529-1
PHI:I375	PHI:376	Q8NKF8	SCH9	AAM21494	EMBL	5207	5207	Cryptococcus neoformans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15503029	10.1007/s00294-004-0529-1
PHI:I376	PHI:377	E9QYP0	SIDA	AAT84594	EMBL	746128	746128	Aspergillus fumigatus	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15504822	10.1084/jem.20041242
PHI:I377	PHI:378	Q59KY8	SIT4	EAK91146 	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	14731272	
PHI:I378	PHI:379	Q709E2	SIX1	CAE55866	EMBL	5507	5507	Fusarium oxysporum	4081	Solanum lycopersicum	PHIEO:0000003	plant avirulence determinant effector	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15387816	10.1111/j.1365-2958.2004.04177.x
PHI:I379	PHI:380	Q5A4X5	SKN7	EAK97884 	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15039366	
PHI:I380	PHI:382	Q4P5N0	SMU1	AAM97788	EMBL	5270	5270	Ustilago maydis	4577	Zea mays	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	14871948	
PHI:I381	PHI:383	Q5AD07	SOD5	EAL00626                 	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000002;ESO:0000007	gene deletion;gene complementation	14617819	
PHI:I382	PHI:384	Q6RXX2	SPE3-LYS9	AAS48112	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15189996	10.1128/EC.3.3.752-763.2004
PHI:I383	PHI:385	Q875J4	tgaA	AAO18659	EMBL	29875	29875	Trichoderma virens	39291	Athelia rolfsii	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	14711686	
PHI:I384	PHI:386	Q7Z9J6	TSA1	AAP68994	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	14982637	
PHI:I385	PHI:387	Q96VU5	UGD1	AAK95561	EMBL	5207	214684	Cryptococcus neoformans var. neoformans JEC21	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15383535	10.1074/jbc.M408889200
PHI:I386	PHI:389	O13395	Umchs6	AAB84285	EMBL	5270	559306	Ustilago maydis FB1	4577	Zea mays	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	14990260	
PHI:I387	PHI:390	Q8TGV2	WdCHS5	AAL79830	EMBL	5970	5970	Exophiala dermatitidis	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	14871935	
PHI:I388	PHI:392	P46592	CaMNT2	CAA61538	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15519997	
PHI:I389	PHI:393	Q5K2R7	CpCOT1	CAH04535	EMBL	5111	5111	Claviceps purpurea	4550	Secale cereale	PHIPO:0000007	loss of pathogenicity	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15670709	10.1016/j.fgb.2004.10.005
PHI:I390	PHI:394	Q8NKE9	CRK1	AAM21640	EMBL	5270	5270	Ustilago maydis	4577	Zea mays	PHIPO:0000007	loss of pathogenicity	ESO:0000002	gene deletion	15601825	10.1101/gad.314904
PHI:I391	PHI:395	Q65YU2	FGA2	BAD44729	EMBL	5507	5508	Fusarium oxysporum f. cucumerinum	4081	Solanum lycopersicum	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	15668015	10.1016/j.femsle.2004.12.009
PHI:I392	PHI:397	Q5RLJ7	LAC2	AAV64894	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000011	unaltered pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15643074	
PHI:I393	PHI:398	Q00202	PacC	CAA87390	EMBL	162425	162425	Aspergillus nidulans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000016	gene disruption;characterised gene mutation	15686555	10.1111/j.1365-2958.2004.04472.x
PHI:I394	PHI:399	Q59X23	PMT4	EAK95207 	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	15659169	
PHI:I395	PHI:401	O13401	SOD2	AAB86583	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000011	unaltered pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	12898709	10.1002/yea.1004
PHI:I396	PHI:402	Q99078	FUZ7	AAA62242	EMBL	5270	559306	Ustilago maydis FB1	4577	Zea mays	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	7926737	
PHI:I397	PHI:404	Q9Y784	PTH11	AAD30436	EMBL	318829	1274781	Magnaporthe oryzae 4091-5-8	4530	Oryza sativa	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	9574508	
PHI:I398	PHI:405	Q9C2Y4	PDE1	AAK07740	EMBL	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	11549759	
PHI:I399	PHI:406	Q9UQY5	UBC3	AAF09452	EMBL	5270	5270	Ustilago maydis	4577	Zea mays	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	10564490	
PHI:I400	PHI:407	Q9Y7G8	PBC1	CAB40372	EMBL	76659	76659	Pyrenopeziza brassicae	3708	Brassica napus	PHIPO:0000007	loss of pathogenicity	ESO:0000001	gene disruption	12795380	
PHI:I401	PHI:409	Q8J1Y3	BbCHIT1	AAN41259	EMBL	176275	176275	Beauveria bassiana	27482	Aphididae	PHIPO:0000147	hypervirulence	ESO:0000011	gene overexpression	15640210	10.1128/AEM.71.1.363-370.2005
PHI:I402	PHI:410	Q5IFQ6	SOD2	AAW56834	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15643059	
PHI:I403	PHI:411	Q5SC91	ROP1	AAV54029	EMBL	5270	559306	Ustilago maydis FB1	4577	Zea mays	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	15701800	10.1128/EC.4.2.379-391.2005
PHI:I404	PHI:412	Q5J7N6	CHAP1	AAS64313	EMBL	5016	5016	Bipolaris maydis	4577	Zea mays	PHIPO:0000011	unaltered pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15701806	10.1128/EC.4.2.443-454.2005
PHI:I405	PHI:413	Q5GFD3	MPD1	AAT84078	EMBL	13684	13684	Parastagonospora nodorum	4564	Triticum	PHIPO:0000011	unaltered pathogenicity	ESO:0000001	gene disruption	15720079	10.1094/MPMI-18-0110
PHI:I406	PHI:414	Q696X2	GOX1	AAT73077	EMBL	13684	13684	Parastagonospora nodorum	4565	Triticum aestivum	PHIPO:0000011	unaltered pathogenicity	ESO:0000001	gene disruption	15205912	10.1007/s00294-004-0514-8
PHI:I407	PHI:416	Q5D6D3	NPS6	AAX09988	EMBL	5016	5016	Bipolaris maydis	4577	Zea mays	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	15755917	10.1128/EC.4.3.545-555.2005
PHI:I408	PHI:416	Q5D6D3	NPS6	AAX09988	EMBL	5016	5016	Bipolaris maydis	4577	Zea mays	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	17056706	
PHI:I409	PHI:417	G4NEB8	MST7	EHA48601 	Genbank	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000007	loss of pathogenicity	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15749760	
PHI:I410	PHI:418	G4N7X0	MST11	EHA50924	Genbank	318829	318829	Magnaporthe oryzae	4530	Oryza sativa	PHIPO:0000007	loss of pathogenicity	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15749760	
PHI:I411	PHI:419	Q7Z8E8	CSH1	AAP93915	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15766793	10.1016/j.femsle.2005.02.010
PHI:I412	PHI:420	Q6TDT0	SOD2	AAS19620	EMBL	552467	552467	Cryptococcus gattii	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15752200	10.1111/j.1365-2958.2005.04503.x
PHI:I413	PHI:420	Q6TDT0	SOD2	AAS19620	EMBL	552467	552467	Cryptococcus gattii	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15752200	10.1111/j.1365-2958.2005.04503.x
PHI:I414	PHI:422;PHI:668	Q9C402;Q6XVN4	SOD1;GNO1	AAK01665;AAP41027	EMBL;EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	14614821	
PHI:I415	PHI:422	Q9C402	SOD1	AAK01665	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	12496163	
PHI:I416	PHI:422;PHI:667	Q9C402;Q6XX21	SOD1;FHB1	AAK01665;AAP41066	EMBL;EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	14614821	
PHI:I417	PHI:423	Q58Z64	VAD1	AAV41010	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15765146	
PHI:I418	PHI:424	F5HAA8	PCK1	EAL19243	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15765146	
PHI:I419	PHI:425	F5HEZ0	MPF3	EAL17726	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15765146	
PHI:I420	PHI:427	Q5AP71	TPK1	EAL04880	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000011	unaltered pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15760450	10.1111/j.1462-5822.2004.00476.x
PHI:I421	PHI:428	Q9P932	TPK2	AAF64072	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15760450	10.1111/j.1462-5822.2004.00476.x
PHI:I422	PHI:429	Q8J0E2	ClPLS1	CAD43407	EMBL	290576	290576	Colletotrichum lindemuthianum	3885	Phaseolus vulgaris	PHIPO:0000007	loss of pathogenicity	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15749050	10.1016/j.fgb.2005.01.009
PHI:I423	PHI:430	Q5EGQ2	BWC1	AAW72937	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15760278	10.1371/journal.pbio.0030095
PHI:I424	PHI:431	Q5EGQ1	BWC2	AAW72938	EMBL	5207	235443	Cryptococcus neoformans var. grubii H99	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000002;ESO:0000007	gene disruption;gene deletion;gene complementation	15760278	10.1371/journal.pbio.0030095
PHI:I425	PHI:432	Q6WER3	FGL1	AAQ23181	EMBL	5518	5518	Fusarium graminearum	4577	Zea mays	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	15842622	10.1111/j.1365-313X.2005.02377.x
PHI:I426	PHI:432	Q6WER3	FGL1	AAQ23181	EMBL	5518	5518	Fusarium graminearum	4564	Triticum	PHIPO:0000008	reduced virulence	ESO:0000001	gene disruption	15842622	10.1111/j.1365-313X.2005.02377.x
PHI:I427	PHI:433	Q6DQW3	CTB1	AAT69682	EMBL	29003	29003	Cercospora nicotianae	4097	Nicotiana tabacum	PHIPO:0000008	reduced virulence	ESO:0000001;ESO:0000002;ESO:0000007	gene disruption;gene deletion;gene complementation	15915645	
PHI:I428	PHI:434	P0C954	GEL2	EAL88984                 	EMBL	746128	746128	Aspergillus fumigatus	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15916615	10.1111/j.1365-2958.2005.04654.x
PHI:I429	PHI:435	Q5AHJ0	VMA7	EAL02110 	EMBL	5476	237561	Candida albicans SC5314	10090	Mus musculus	PHIPO:0000007	loss of pathogenicity	ESO:0000001;ESO:0000007	gene disruption;gene complementation	15870472	10.1099/mic.0.27505-0
PHI:I430	PHI:436	Q8NJN5	ESS1	AAN03477	EMBL	5207	5207	Cryptococcus neoformans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15870468	10.1099/mic.0.27786-0
PHI:I431	PHI:438	Q6WP49	BcBOT1 (CND5)	AAQ16576	EMBL	40559	40559	Botrytis cinerea	3885	Phaseolus vulgaris	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	15986930	
PHI:I432	PHI:438	Q6WP49	BcBOT1 (CND5)	AAQ16576	EMBL	40559	40559	Botrytis cinerea	4081	Solanum lycopersicum	PHIPO:0000008	reduced virulence	ESO:0000002	gene deletion	15986930	
PHI:I433	PHI:439	Q9UWE7	TRI6	BAA83722	EMBL	5518	229533	Fusarium graminearum PH-1	4565	Triticum aestivum	PHIPO:0000008	reduced virulence	ESO:0000013	gene silencing	15986923	10.1094/MPMI-18-0539
PHI:I434	PHI:440	Q9P872	PMR1	CAB87245	EMBL	5476	5476	Candida albicans	10090	Mus musculus	PHIPO:0000008	reduced virulence	ESO:0000002;ESO:0000007	gene deletion;gene complementation	15843378	10.1074/jbc.M502162200
PHI:I435	PHI:441	Q6A2T2	BTP1	CAE55153	EMBL	40559	40559	Botrytis cinerea	3750	Malus domestica	PHIPO:0000011	unaltered pathogenicity	ESO:0000002	gene deletion	20565654	10.1111/j.1364-3703.2005.00278.x
